g04_08.asc,1,1,1,11303836,11303942,108
g04_08.asc,3,2,1,11334674,11334720,48
g04_08.asc,4,1,1,11343122,11343220,100
g04_08.asc,4,1,1,11343338,11343456,120
g04_08.asc,5,1,1,11353786,11353928,144
g04_08.asc,6,1,1,11385032,11385154,124
g04_08.asc,6,1,1,11386716,11386842,128
g04_08.asc,8,1,1,11415648,11415754,108
g04_08.asc,9,1,1,11429856,11429970,116
g04_08.asc,9,1,1,11430396,11430514,120
g04_08.asc,10,1,1,11443940,11444090,152
g04_08.asc,11,1,1,11457186,11457360,176
g04_08.asc,13,1,1,11478894,11478980,88
g04_08.asc,15,1,1,11512676,11512794,120
g04_08.asc,15,2,1,11515000,11517598,2600
g04_08.asc,16,2,1,11530904,11530974,72
g04_08.asc,16,2,1,11533244,11533326,84
g04_08.asc,18,2,1,11554806,11554956,152
g04_08.asc,18,2,1,11555114,11555168,56
g04_08.asc,19,1,1,11562690,11562792,104
